	gene	locus_tag	product	protein_id	EC_number
0	NA	SMc02793	Conserved hypothetical protein	CAC41388.1	NA
1	NA	SMc02792	Septum formation protein Maf	CAC41389.1	NA
2	aroE1	SMc02791	Probable shikimate 5-dehydrogenase	CAC41390.1	1.1.1.25
3	coaE	SMc02790	Dephospho-CoA kinase	CAC41391.1	2.7.1.24
4	dnaQ	SMc02789	Probable DNA polymerase III, epsilon chain	CAC41392.1	2.7.7.7
5	secB	SMc02788	Probable protein-export	CAC41393.1	NA
6	NA	SMc02787	Hypothetical transmembrane protein	CAC41394.1	NA
7	NA	SMc02786	Import inner membrane translocase subunit TIM44	CAC41395.1	NA
8	NA	SMc02785	Putative lytic murein transglycosylase A	CAC41396.1	3.2.1.-
9	NA	SMc02784	Hypothetical protein	CAC41397.1	NA
10	NA	SMc02783	Putative HTH-type transcriptional regulator	CAC41398.1	NA
11	gyrB	SMc02782	Probable DNA gyrase subunit B	CAC41399.1	5.99.1.3
12	NA	SMc02781	Putative NADH dehydrogenase/NAD	CAC41400.1	1.-.-.-
13	gabD1	SMc04427	Probable succinate-semialdehyde dehydrogenase 	CAC41401.1	1.2.1.16
14	TRm19	SMc02779	Putative transposase for insertion sequence 	CAC41402.1	NA
15	hpcH	SMc02778	2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase	CAC41403.1	4.1.2.-
16	NA	SMc02777	Putative HTH-type transcriptional regulator	CAC41404.1	NA
17	NA	SMc02776	Altronate hydrolase, UxaA family	CAC41405.1	4.2.1.7
18	NA	SMc02775	Putative L-fucose dehydrogenase (D-threo aldose 	CAC41406.1	1.1.1.122
19	NA	SMc02774	Putative D-fucose, pyruvic acid or L-fucose ABC 	CAC41407.1	NA
20	NA	SMc02773	Putative D-fucose, pyruvic acid or L-fucose ABC 	CAC41408.1	NA
21	NA	SMc02772	Putative D-fucose, pyruvic acid or L-fucose ABC 	CAC41409.1	NA
22	NA	SMc02771	Putative zinc-type alcohol dehydrogenase	CAC41410.1	1.1.1.-
23	NA	SMc02770	Intracellular PHB depolymerase	CAC41411.1	NA
24	NA	SMc02769	Conserved hypothetical transmembrane protein	CAC41412.1	NA
25	NA	SMc02768	Conserved hypothetical protein	CAC41413.1	NA
26	trpF	SMc02767	Probable N-5'-phosphoribosylanthranilate 	CAC41414.1	5.3.1.24
27	trpB	SMc02766	Probable tryptophan synthase beta chain	CAC41415.1	4.2.1.20
28	trpA	SMc02765	Probable tryptophan synthase alpha chain	CAC41416.1	4.2.1.20
29	accD	SMc02764	Probable acetyl-coenzyme A carboxylase carboxyl 	CAC41417.1	6.4.1.2
30	folC	SMc04470	Probable FolC bifunctional protein includes: 	CAC41418.1	unknown EC_number
31	TRm22	SMc02762	Probable transposase	CAC41419.1	NA
32	trxA	SMc02761	Probable thioredoxin protein	CAC41420.1	NA
33	NA	SMc02760	ATP-dependent nuclease / helicase	CAC41421.1	3.1.11.5
34	NA	SMc02759	Hypothetical protein	CAC41422.1	NA
35	NA	SMc02758	Putative nucleotidyl transferase	CAC41423.1	2.7.7.-
36	NA	SMc02757	Hypothetical protein	CAC41424.1	NA
37	NA	SMc02756	Putative sensor histidine kinase	CAC41425.1	NA
38	ahcY	SMc02755	Probable adenosylhomocysteinase	CAC41426.1	3.3.1.1
39	NA	SMc02754	Putative phosphocarrier HPR transmembrane 	CAC41427.1	NA
40	NA	SMc02753	Putative IIA component of PTS system	CAC41428.1	NA
41	NA	SMc02752	Hypothetical protein	CAC41429.1	NA
42	exoS	SMc04446	Signal transduction histidine kinase, regulator 	CAC41430.1	2.7.3.-
43	chvI	SMc02560	Transcriptional regulatory protein	CAC41431.1	NA
44	pckA	SMc02562	Phosphoenolpyruvate carboxykinase	CAC41432.1	4.1.1.49
45	NA	SMc02563	Conserved hypothetical protein	CAC41433.1	NA
46	NA	SMc02564	Conserved hypothetical protein	CAC41434.1	NA
47	alkB	SMc04482	Probable DNA repair system specific for 	CAC41435.1	NA
48	coaA	SMc02567	Probable pantothenate kinase	CAC41436.1	2.7.1.33
49	hisE	SMc02568	Probable phosphoribosyl-ATP pyrophosphatase	CAC41437.1	3.6.1.31
50	hisF	SMc02569	Probable imidazole glycerol phosphate synthase 	CAC41438.1	4.1.3.-
51	hisA	SMc02570	Probable 	CAC41439.1	5.3.1.16
52	hisH	SMc02572	Probable glutamine amidotransferase	CAC41440.1	2.4.2.-
53	NA	SMc02573	Hypothetical transmembrane protein	CAC41441.1	NA
54	hisB	SMc02574	Probable imidazoleglycerol-phosphate 	CAC41442.1	4.2.1.19
55	hslV	SMc02575	Probable heat shock protein	CAC41443.1	3.4.-.-
56	NA	SMc02576	Hypothetical acetyltransferase protein	CAC41444.1	2.3.1.82
57	hslU	SMc02577	Probable heat shock protein	CAC41445.1	NA
58	NA	SMc04650	Conserved hypothetical transmembrane protein	CAC41446.1	NA
59	NA	SMc02579	Putative cytochrome P450 monooxygenase	CAC41447.1	1.14.-.-
60	NA	SMc02580	Conserved hypothetical protein, 	CAC41448.1	NA
61	glcB	SMc04585	Probable malate synthase G	CAC41449.1	2.3.3.9
62	NA	SMc02582	Conserved hypothetical protein	CAC41450.1	NA
63	NA	SMc02583	Conserved hypothetical protein	CAC41451.1	NA
64	actR	SMc02584	Two component response regulator, essential for 	CAC41452.1	NA
65	actS	SMc02585	Two component sensor histidine kinase, essential 	CAC41453.1	2.7.3.-
66	helO	SMc02586	ATP-dependent helicase	CAC41454.1	NA
67	NA	SMc02587	Putative ATP-binding ABC transporter	CAC41455.1	NA
68	NA	SMc02588	Putative permease ABC transporter	CAC41456.1	NA
69	tRNA-MET_CAT	SMc02623	ribosomal RNA-5S	CAC41457.1	NA
70	NA	SMc02590	Conserved hypothetical transmembrane protein	CAC41458.1	NA
71	NA	SMc02591	Conserved hypothetical transmembrane protein	CAC41459.1	NA
72	NA	SMc02592	Hypothetical protein	CAC41460.1	NA
73	NA	SMc02593	Hypothetical transmembrane protein	CAC41461.1	NA
74	NA	SMc02594	Conserved hypothetical protein	CAC41462.1	NA
75	metB	SMc02595	Probable cystathionine gamma-synthase	CAC41463.1	2.5.1.48
76	NA	SMc02596	Putative HTH-type transcriptional regulator	CAC41464.1	NA
77	NA	SMc04463	Conserved hypothetical protein	CAC41465.1	NA
78	NA	SMc02600	Hypothetical transmembrane protein	CAC41466.1	NA
79	NA	SMc02602	Hypothetical transmembrane protein	CAC41467.1	NA
80	folD1	SMc02604	Probable bifunctional protein : 	CAC41468.1	unknown EC_number
81	soxG	SMc02605	Putative sarcosine oxidase gamma subunit	CAC41469.1	1.5.3.1
82	soxA1	SMc02606	Putative sarcosine oxidase alpha subunit 	CAC41470.1	1.5.3.1
83	soxD	SMc02607	Sarcosine oxidase delta subunit	CAC41471.1	1.5.3.1
84	soxB	SMc02608	Sarcosine oxidase beta subunit	CAC41472.1	1.5.3.1
85	glxA	SMc02609	Putative transcription regulator	CAC41473.1	NA
86	glxB	SMc02610	Amidophosphoribosyl transferase-like protein	CAC41474.1	NA
87	glxC	SMc02611	Glutamate synthase	CAC41475.1	NA
88	glxD	SMc02612	Glutamate synthase family protein	CAC41476.1	1.4.1.13
89	glnT	SMc02613	Glutamine synthetase III	CAC41477.1	6.3.1.2
90	NA	SMc02614	Conserved hypothetical transmembrane protein	CAC41478.1	NA
91	NA	SMc02615	Hypothetical signal peptide protein	CAC41479.1	NA
92	NA	SMc02616	Amino acid transporter	CAC41480.1	NA
93	NA	SMc02617	Conserved hypothetical transmembrane protein	CAC41481.1	NA
94	NA	SMc02618	Conserved hypothetical transmembrane protein	CAC41482.1	NA
95	NA	SMc02619	Conserved hypothetical transmembrane protein	CAC41483.1	NA
96	NA	SMc02620	Putative HTH-type transcriptional regulator	CAC41484.1	NA
97	purU2	SMc04154	Probable formyltetrahydrofolate deformylase	CAC41485.1	3.5.1.10
98	NA	SMc04153	Putative aminomethyltransferase	CAC41486.1	2.1.2.10
99	NA	SMc04152	Hypothetical protein	CAC41487.1	NA
100	NA	SMc04656	Putative dioxygenase beta subunit	CAC41488.2	1.-.-.-
101	NA	SMc04150	Conserved hypothetical protein	CAC41489.1	NA
102	NA	SMc04149	Flavin-containing monooxygenase family protein / 	CAC41490.1	NA
103	NA	SMc04148	Putative aminomethyltransferase	CAC41491.1	2.1.2.10
104	NA	SMc04147	Putative amino-acid permease	CAC41492.1	NA
105	NA	SMc04146	Putative phosphoketolase	CAC41493.2	4.1.2.-
106	NA	SMc04145	Putative sugar epimerase family protein	CAC41494.1	NA
107	ilvD3	SMc04144	Putative dihydroxy-acid dehydratase	CAC41495.1	4.2.1.9
108	NA	SMc04143	Transcription regulator	CAC41496.1	NA
109	NA	SMc04142	Conserved hypothetical protein	CAC41497.1	NA
110	gst9	SMc04141	Putative glutathione S-transferase	CAC41498.1	NA
111	NA	SMc04140	Putative amino acid or peptide ABC transporter, 	CAC41499.1	NA
112	NA	SMc04139	Oxidoreductase	CAC41500.1	1.-.-.-
113	NA	SMc04138	Oxidoreductase	CAC41501.1	1.-.-.-
114	NA	SMc04137	Putative amino acid or peptide ABC transporter, 	CAC41502.1	NA
115	NA	SMc04136	Putative amino acid or peptide ABC transporter, 	CAC41503.1	NA
116	NA	SMc04135	Putative amino acid or peptide ABC transporter, 	CAC41504.1	NA
117	NA	SMc04134	Putative transcription regulator	CAC41505.1	NA
118	NA	SMc04133	Putative oxidoreductase	CAC41506.1	NA
119	NA	SMc04132	Conserved hypothetical protein	CAC41507.1	NA
120	NA	SMc04131	Hypothetical protein	CAC41508.1	NA
121	NA	SMc04130	Conserved hypothetical protein	CAC41509.1	NA
122	NA	SMc04129	Putative oxidoreductase	CAC41510.1	1.-.-.-
123	NA	SMc04871	Putative heavy metal transporting ATPase	CAC41511.1	3.6.3.-
124	NA	SMc04127	Sugar ABC transporter, ATP-binding protein	CAC41512.1	NA
